root,original_path,original_name,normalized_name,proposed_display_name,proposed_safe_slug,candidate_type,confidence,review_status,reason,collision_group,slug_collision
original-ar,/srv/daawah/media/original-ar/برنامج آفاق السيرة النبوية مع الدكتور علي الصلابي,برنامج آفاق السيرة النبوية مع الدكتور علي الصلابي,برنامج آفاق السيرة النبوية مع الدكتور علي الصلابي,برنامج آفاق السيرة النبوية مع الدكتور علي الصلابي,برنامج-آفاق-السيرة-النبوية,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/مع النبي,مع النبي,مع النبي,مع النبي,,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/منهج البنا في التغيير,منهج البنا في التغيير,منهج البنا في التغيير,منهج البنا في التغيير,منهج-البنا-في-التغيير,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/أعلام دعوة  ＂موسم رمضان＂,أعلام دعوة  ＂موسم رمضان＂,"أعلام دعوة ""موسم رمضان""",أعلام دعوة  ＂موسم رمضان＂,أعلام-دعوة-موسم-رمضان,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/في ظلال الكتب الموسم الثاني مع مصباح سيدي,في ظلال الكتب الموسم الثاني مع مصباح سيدي,في ظلال الكتب الموسم الثاني مع مصباح سيدي,في ظلال الكتب الموسم الثاني مع مصباح سيدي,في-ظلال-الكتب-الموسم-الثاني,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/المحترم (موسم رمضان) مع أيمن الباجوري,المحترم (موسم رمضان) مع أيمن الباجوري,المحترم (موسم رمضان) مع أيمن الباجوري,المحترم (موسم رمضان) مع أيمن الباجوري,المحترم-موسم-رمضان,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/مواقف وعبر مع محمد ماهر والشيخ محمود عطية,مواقف وعبر مع محمد ماهر والشيخ محمود عطية,مواقف وعبر مع محمد ماهر والشيخ محمود عطية,مواقف وعبر مع محمد ماهر والشيخ محمود عطية,مواقف-وعبر,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/نداءات مع د توفيق زبادي,نداءات مع د توفيق زبادي,نداءات مع د توفيق زبادي,نداءات مع د توفيق زبادي,نداءات,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/سبيل الرشاد مع فضيلة الشيخ خالد الديب,سبيل الرشاد مع فضيلة الشيخ خالد الديب,سبيل الرشاد مع فضيلة الشيخ خالد الديب,سبيل الرشاد مع فضيلة الشيخ خالد الديب,سبيل-الرشاد,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/يسألونك الموسم السابع مع الشيخ أحمد جابر علي,يسألونك الموسم السابع مع الشيخ أحمد جابر علي,يسألونك الموسم السابع مع الشيخ أحمد جابر علي,يسألونك الموسم السابع مع الشيخ أحمد جابر علي,يسألونك-الموسم-السابع,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/قواعد قرآنية مع الشيخ عبد العزيز أصلان,قواعد قرآنية مع الشيخ عبد العزيز أصلان,قواعد قرآنية مع الشيخ عبد العزيز أصلان,قواعد قرآنية مع الشيخ عبد العزيز أصلان,قواعد-قرآنية,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/ميراث حضارة مع مصباح سيدي,ميراث حضارة مع مصباح سيدي,ميراث حضارة مع مصباح سيدي,ميراث حضارة مع مصباح سيدي,ميراث-حضارة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/ومضة مع ا خالد حمدي,ومضة مع ا خالد حمدي,ومضة مع ا خالد حمدي,ومضة مع ا خالد حمدي,ومضة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/ثوابت الصراع ｜ د أمل خليفة,ثوابت الصراع د أمل خليفة,ثوابت الصراع د أمل خليفة,ثوابت الصراع د أمل خليفة,ثوابت-الصراع-د-أمل-خليفة,original-library,medium,ready,,,
original-ar,/srv/daawah/media/original-ar/مختارات,مختارات,مختارات,مختارات,مختارات,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/حيران مع بسمة عماد,حيران مع بسمة عماد,حيران مع بسمة عماد,حيران مع بسمة عماد,حيران,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/إذاعة دعوة,إذاعة دعوة,إذاعة دعوة,إذاعة دعوة,إذاعة-دعوة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/كن داعياً مع الدكتور محمد موسي الشريف,كن داعياً مع الدكتور محمد موسي الشريف,كن داعياً مع الدكتور محمد موسي الشريف,كن داعياً مع الدكتور محمد موسي الشريف,كن-داعياً,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/قصائد حجازية مع ا سمير عطية,قصائد حجازية مع ا سمير عطية,قصائد حجازية مع ا سمير عطية,قصائد حجازية مع ا سمير عطية,قصائد-حجازية,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/سكن مع ياسر عمر و د عبير طلعت,سكن مع ياسر عمر و د عبير طلعت,سكن مع ياسر عمر و د عبير طلعت,سكن مع ياسر عمر و د عبير طلعت,سكن,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/تأملات مع د محمد علي,تأملات مع د محمد علي,تأملات مع د محمد علي,تأملات مع د محمد علي,تأملات-محمد-علي,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/مع الصحيح مع فضيلة الشيخ سيد جويل,مع الصحيح مع فضيلة الشيخ سيد جويل,مع الصحيح مع فضيلة الشيخ سيد جويل,مع الصحيح مع فضيلة الشيخ سيد جويل,,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/تدبر مع الشيخ عبد العزيز أصلان,تدبر مع الشيخ عبد العزيز أصلان,تدبر مع الشيخ عبد العزيز أصلان,تدبر مع الشيخ عبد العزيز أصلان,تدبر,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/عم عاشور مع أيمن الباجوري,عم عاشور مع أيمن الباجوري,عم عاشور مع أيمن الباجوري,عم عاشور مع أيمن الباجوري,عم-عاشور,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/غرس القرآن مع ا عبد العزيز أصلان,غرس القرآن مع ا عبد العزيز أصلان,غرس القرآن مع ا عبد العزيز أصلان,غرس القرآن مع ا عبد العزيز أصلان,غرس-القرآن,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/فقه الميزان (الموسم الثاني) مع فضيلة الشيخ علي القرة داغي,فقه الميزان (الموسم الثاني) مع فضيلة الشيخ علي القرة داغي,فقه الميزان (الموسم الثاني) مع فضيلة الشيخ علي القرة داغي,فقه الميزان (الموسم الثاني) مع فضيلة الشيخ علي القرة داغي,فقه-الميزان-الموسم-الثاني,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/قبس من أنوار المصطفى,قبس من أنوار المصطفى,قبس من أنوار المصطفى,قبس من أنوار المصطفى,قبس-من-أنوار-المصطفى,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/مقام إبراهيم,مقام إبراهيم,مقام إبراهيم,مقام إبراهيم,مقام-إبراهيم,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/جواب كافي مع د مروة إبراهيم وجـ＊ـهاد علي,جواب كافي مع د مروة إبراهيم وجــهاد علي,جواب كافي مع د مروة إبراهيم وجـ*ـهاد علي,جواب كافي مع د مروة إبراهيم وجــهاد علي,جواب-كافي,needs_review,low,ready,,,
original-ar,/srv/daawah/media/original-ar/منتدى دعوة,منتدى دعوة,منتدى دعوة,منتدى دعوة,منتدى-دعوة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/قرآنا عربيا الموسم الثاني مع د بدوي الصاوي,قرآنا عربيا الموسم الثاني مع د بدوي الصاوي,قرآنا عربيا الموسم الثاني مع د بدوي الصاوي,قرآنا عربيا الموسم الثاني مع د بدوي الصاوي,قرآنا-عربيا-الموسم-الثاني,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/د. عبدالحي يوسف تفسير سورة الحج,د. عبدالحي يوسف تفسير سورة الحج,د. عبدالحي يوسف تفسير سورة الحج,د. عبدالحي يوسف تفسير سورة الحج,د-عبدالحي-يوسف-تفسير-سورة-الحج,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/مقاطع وفواصل قناة دعوة,مقاطع وفواصل قناة دعوة,مقاطع وفواصل قناة دعوة,مقاطع وفواصل قناة دعوة,مقاطع-وفواصل-قناة-دعوة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/بصمات مع مازن سلام,بصمات مع مازن سلام,بصمات مع مازن سلام,بصمات مع مازن سلام,بصمات,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/جنة الدنيا مع الشيخ نشأت أحمد,جنة الدنيا مع الشيخ نشأت أحمد,جنة الدنيا مع الشيخ نشأت أحمد,جنة الدنيا مع الشيخ نشأت أحمد,جنة-الدنيا,needs_review,medium,exclude,duplicate of source/shawwal entry,,
original-ar,/srv/daawah/media/original-ar/ميزان الأصول مع د أحمد شاهين,ميزان الأصول مع د أحمد شاهين,ميزان الأصول مع د أحمد شاهين,ميزان الأصول مع د أحمد شاهين,ميزان-الأصول,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/جيل التمكين مع د رمضان خميس,جيل التمكين مع د رمضان خميس,جيل التمكين مع د رمضان خميس,جيل التمكين مع د رمضان خميس,جيل-التمكين,original-library,high,ready,clean name,,
